,IEKS-EKF,IEKS-IEKF,KS-EKF,KS-IEKF
2,3.348006656129705,3.348006656129705,3.348006656129705,3.348006656129705
4,-12.020116667688017,-11.923457515903792,2.67558701047185,-11.922351578215594
8,-21.18951041393961,-18.372510449197105,3.1255526574806956,-18.390087508039556
16,-27.238813461576594,-3.9569240216137427,5.387259530694786,-3.675850497321917
32,1.8981103784654518,16.820029289292656,21.5924272997795,17.48861341193018
64,46.60040675549009,44.032394482706735,44.01914114143566,41.528516468991334
