,IEKS-EKF,IEKS-IEKF,KS-EKF,KS-IEKF
2,0.040976067002651835,0.040976067002651835,0.040976067002651835,0.040976067002651835
4,0.00015010127637997823,0.00015048246762294757,0.0010414443846634776,0.00015048734192166016
8,5.213261445306517e-06,7.369063825772084e-06,0.00010626607154155363,7.347816413982187e-06
16,5.040306351485643e-07,2.9990438881730607e-06,1.207146686230239e-05,3.085605109019605e-06
32,7.492450608074937e-07,2.839660309078329e-06,5.07379499995993e-06,3.1130211861172477e-06
64,2.5330969443460265e-05,2.550214446907698e-05,2.4715374417926754e-05,2.4985192436996177e-05
