,IEKS-EKF,IEKS-IEKF,KS-EKF,KS-IEKF
2,0.0396834175217334,0.0396834175217334,0.0396834175217334,0.0396834175217334
4,0.00015633605080219974,0.00015676331308053695,0.0009545683156646877,0.00015676918306932558
8,5.182567690949844e-06,6.917765953906029e-06,9.144075943179217e-05,6.904178490365415e-06
16,4.989994030341202e-07,2.739827358666173e-06,1.0633936141824166e-05,2.8187358760689607e-06
32,7.242054047210354e-07,2.560425373426568e-06,4.517311682496083e-06,2.789143153175301e-06
64,9.94456135458448e-06,1.084077614632541e-05,1.1797737596553368e-05,1.0808324081647825e-05
