,IEKS-EKF,KS-EKF
2,0.7102885379645075,0.7102885379645075
4,0.599905073590874,0.5950077825680412
8,0.09215638967003444,0.10840738657204574
16,0.0028554947262085864,0.14388915335421396
32,0.00014306984513095042,0.1462286905446951
64,5.070693164383994e-06,0.1457258666371439
128,2.8408957720477985e-07,0.14581902856166576
256,2.328604452829861e-07,0.1459685029874986
512,2.335330872314004e-07,0.14600409795062902
